"depth","fbio","age"
0.3,0.71,1401.25
0.3,0.71,1159.68
0.3,0.71,755.17
0.3,0.71,2103.75
0.3,0.71,1380.14
0.3,0.71,-9.45
0.3,0.71,777.56
0.3,0.71,-515.33
0.3,0.71,729.71
0.3,0.71,-1097.75
0.3,0.71,1865.4
0.3,0.71,402.58
0.3,0.71,578.04
0.3,0.71,764.07
0.3,0.71,1363.55
0.3,0.71,1399.42
0.3,0.71,1333.34
0.3,0.71,462.45
0.3,0.71,-97.98
0.3,0.71,592.52
0.3,0.71,1114.06
0.3,0.71,263.66
0.3,0.71,852.26
0.3,0.71,22.78
0.3,0.71,857.96
0.3,0.71,993.15
0.3,0.71,814.88
0.3,0.71,790.89
0.3,0.71,2225.2
0.3,0.71,1446.46
0.3,0.71,1757.63
0.3,0.71,208.79
0.3,0.71,1013.31
0.3,0.71,1800.09
0.3,0.71,841
0.3,0.71,-691.13
0.3,0.71,1185.05
0.3,0.71,-516.56
0.3,0.71,284.71
0.3,0.71,1883.76
0.3,0.71,1368.71
0.3,0.71,1729.05
0.3,0.71,1129.87
0.3,0.71,844.57
0.3,0.71,204.91
0.3,0.71,2079.53
0.3,0.71,944.56
0.3,0.71,317
0.3,0.71,1556.67
0.3,0.71,1715.78
0.3,0.71,2316.55
0.3,0.71,423.85
0.3,0.71,598.09
0.3,0.71,619.87
0.3,0.71,602.19
0.3,0.71,575.65
0.3,0.71,694.81
0.3,0.71,1970.38
0.3,0.71,365.66
0.3,0.71,582.91
0.3,0.71,1388.46
0.3,0.71,1757.82
0.3,0.71,308.12
0.3,0.71,505.74
0.3,0.71,1315.25
0.3,0.71,1657.65
0.3,0.71,707.8
0.3,0.71,-186.09
0.3,0.71,2200.26
0.3,0.71,1954.98
0.3,0.71,384.56
0.3,0.71,867.63
0.3,0.71,-429.88
0.3,0.71,1344.62
0.3,0.71,2129.49
0.3,0.71,-316.36
0.3,0.71,357.33
0.3,0.71,377.48
0.3,0.71,364.25
0.3,0.71,-654.31
0.3,0.71,1278.77
0.3,0.71,-216.08
0.3,0.71,915.98
0.3,0.71,1354.51
0.3,0.71,769.31
0.3,0.71,1565.5
0.3,0.71,890.08
0.3,0.71,421.68
0.3,0.71,1368.34
0.3,0.71,568
0.3,0.71,2226.16
0.3,0.71,915.07
0.3,0.71,1517.39
0.3,0.71,1009.05
0.3,0.71,-1340.39
0.3,0.71,-142.17
0.3,0.71,572.3
0.3,0.71,1096.11
0.3,0.71,-873.52
0.3,0.71,1613.65
0.3,0.71,477.72
0.3,0.71,345.95
0.3,0.71,-255.81
0.3,0.71,-193.76
0.5,0.46,1000.5
0.5,0.46,815.67
0.5,0.46,1749.3
0.5,0.46,3414.17
0.5,0.46,2048.09
0.5,0.46,2018.78
0.5,0.46,2158.2
0.5,0.46,1579.96
0.5,0.46,844.07
0.5,0.46,3906.23
0.5,0.46,1613.48
0.5,0.46,1685.26
0.5,0.46,578.38
0.5,0.46,1712.68
0.5,0.46,1686.92
0.5,0.46,1696.98
0.5,0.46,520.61
0.5,0.46,3253.72
0.5,0.46,3248.15
0.5,0.46,2411.62
0.5,0.46,1049.61
0.5,0.46,2454.42
0.5,0.46,1713.81
0.5,0.46,1647.8
0.5,0.46,2941.29
0.5,0.46,958.89
0.5,0.46,1536.42
0.5,0.46,1329.67
0.5,0.46,1918.76
0.5,0.46,734.79
0.5,0.46,1340.23
0.5,0.46,2441.04
0.5,0.46,2242.31
0.5,0.46,1179.49
0.5,0.46,2298.61
0.5,0.46,69.43
0.5,0.46,1669.37
0.5,0.46,2434.05
0.5,0.46,1418.73
0.5,0.46,1863.8
0.5,0.46,679.18
0.5,0.46,2531.35
0.5,0.46,482.25
0.5,0.46,1598.54
0.5,0.46,1728.82
0.5,0.46,1918.63
0.5,0.46,1239.82
0.5,0.46,3288.91
0.5,0.46,823.05
0.5,0.46,2073.76
0.5,0.46,-312.83
0.5,0.46,1888.61
0.5,0.46,2298.89
0.5,0.46,1097.46
0.5,0.46,2388.14
0.5,0.46,2151.38
0.5,0.46,2643.23
0.5,0.46,1277.25
0.5,0.46,1116.95
0.5,0.46,562.15
0.5,0.46,1695.41
0.5,0.46,908.35
0.5,0.46,2376
0.5,0.46,1914.3
0.5,0.46,3548.35
0.5,0.46,1023.81
0.5,0.46,2802.17
0.5,0.46,1506.37
0.5,0.46,804.97
0.5,0.46,2329.32
0.5,0.46,824.19
0.5,0.46,1077.72
0.5,0.46,1395.19
0.5,0.46,2024.3
0.5,0.46,1146.19
0.5,0.46,2692.71
0.5,0.46,1034.27
0.5,0.46,2079.43
0.5,0.46,1991.23
0.5,0.46,1100.73
0.5,0.46,1598.72
0.5,0.46,1450.51
0.5,0.46,2621.62
0.5,0.46,3040.91
0.5,0.46,1094.51
0.5,0.46,2635.74
0.5,0.46,1795.72
0.5,0.46,484.44
0.5,0.46,1323.33
0.5,0.46,2232.07
0.5,0.46,2007.87
0.5,0.46,83.58
0.5,0.46,2337.33
0.5,0.46,2345.99
0.5,0.46,1674.77
0.5,0.46,1374.51
0.5,0.46,3388.25
0.5,0.46,1806.6
0.5,0.46,1835.49
0.5,0.46,1046.34
0.5,0.46,867.83
0.5,0.46,737.31
0.5,0.46,1559.26
0.5,0.46,2908.08
0.5,0.46,3204.56
0.5,0.46,3088.71
0.5,0.46,2889
0.5,0.46,1700.87
0.5,0.46,971.15
0.5,0.46,1657.46
0.5,0.46,115.74
0.5,0.46,1659.22
0.5,0.46,3105.01
0.5,0.46,1998.82
0.5,0.46,2715.16
0.5,0.46,2299.92
0.5,0.46,1318.76
0.5,0.46,3190.34
0.5,0.46,1827.73
0.5,0.46,1153.47
0.5,0.46,1952.63
0.5,0.46,760.49
0.5,0.46,2562.78
0.5,0.46,2278.63
0.5,0.46,1621.96
0.5,0.46,1509.69
0.5,0.46,2611.27
0.5,0.46,1097.62
0.5,0.46,1161.71
0.5,0.46,2237.07
0.5,0.46,1594
0.5,0.46,2569.54
0.5,0.46,1781.26
0.5,0.46,2773.7
0.5,0.46,2272.98
0.5,0.46,216.54
0.5,0.46,888.4
0.5,0.46,2887.06
0.5,0.46,2400.01
0.5,0.46,1184.3
0.5,0.46,886.11
0.5,0.46,2651.45
0.5,0.46,1312.38
0.5,0.46,3203.23
0.5,0.46,3213.36
0.5,0.46,772.39
0.5,0.46,1265.57
0.5,0.46,963.42
0.5,0.46,2372.74
0.5,0.46,941.31
0.7,0.38,2332.56
0.7,0.38,3632.35
0.7,0.38,3277.72
0.7,0.38,3684.86
0.7,0.38,2400.37
0.7,0.38,3135.33
0.7,0.38,2794.01
0.7,0.38,2034.6
0.7,0.38,3210.78
0.7,0.38,4413.25
0.7,0.38,2587.98
0.7,0.38,2957
0.7,0.38,3590.97
0.7,0.38,3122.53
0.7,0.38,4573.59
0.7,0.38,3683.36
0.7,0.38,4836.31
0.7,0.38,3371.6
0.7,0.38,2267.42
0.7,0.38,3464.57
0.7,0.38,2398.99
0.7,0.38,2323.56
0.7,0.38,2931.69
0.7,0.38,3824.6
0.7,0.38,3369.18
0.7,0.38,3739.22
0.7,0.38,3796.06
0.7,0.38,2991.87
0.7,0.38,1315.54
0.7,0.38,3709.93
0.7,0.38,4726.28
0.7,0.38,3182.77
0.7,0.38,2087.81
0.7,0.38,2850.83
0.7,0.38,2415.07
0.7,0.38,3118.65
0.7,0.38,3634.51
0.7,0.38,3755.25
0.7,0.38,3288.7
0.7,0.38,2409.4
0.7,0.38,3678.59
0.7,0.38,4159.35
0.7,0.38,4823.74
0.7,0.38,2726.19
0.7,0.38,3476.09
0.7,0.38,4012.85
0.7,0.38,3001.45
0.7,0.38,3537.4
0.7,0.38,3268.12
0.7,0.38,3015.52
0.7,0.38,3247.38
0.7,0.38,3815.21
0.7,0.38,3396.33
0.7,0.38,2761.66
0.7,0.38,1444.76
0.7,0.38,2517.76
0.7,0.38,3112.35
0.7,0.38,1233.72
0.7,0.38,4782.16
0.7,0.38,1966.51
0.7,0.38,2256.15
0.7,0.38,4189.25
0.7,0.38,1460.33
0.7,0.38,3664.61
0.7,0.38,2819.94
0.7,0.38,3452.33
0.7,0.38,3761.87
0.7,0.38,2378.59
0.7,0.38,2571.49
0.7,0.38,890.92
0.7,0.38,2365.31
0.7,0.38,3393.13
0.7,0.38,3439.46
0.7,0.38,4618.66
0.7,0.38,3150.46
0.7,0.38,3492.6
0.7,0.38,3148.41
0.7,0.38,2729.09
0.7,0.38,3644.88
0.7,0.38,3464.46
0.7,0.38,3233.78
0.7,0.38,2475.77
0.7,0.38,3073.47
0.7,0.38,3727.23
0.7,0.38,3605.49
0.7,0.38,2764.9
0.7,0.38,2618.84
0.7,0.38,3469.73
0.7,0.38,3924.72
0.7,0.38,3219.98
0.7,0.38,2867.3
0.7,0.38,2433.04
0.7,0.38,2789.85
0.7,0.38,2017.52
0.7,0.38,2577.68
0.7,0.38,3924.42
0.7,0.38,3943.46
0.7,0.38,2475.62
0.7,0.38,3246.24
0.7,0.38,3159.57
0.7,0.38,1839.89
0.7,0.38,3723.09
0.7,0.38,1675.47
0.7,0.38,2176.74
0.7,0.38,3848.07
0.7,0.38,2691.98
0.7,0.38,2968.51
0.7,0.38,1898.26
0.7,0.38,2020.36
0.7,0.38,3308.29
0.7,0.38,2954.84
0.7,0.38,2684.94
0.7,0.38,2103.46
0.7,0.38,2264.19
0.7,0.38,4630.37
0.7,0.38,2859.76
0.7,0.38,3682.49
0.7,0.38,3711.68
0.7,0.38,3716.85
0.7,0.38,3354.34
0.7,0.38,2199.38
0.7,0.38,2348.46
0.7,0.38,3693.76
0.7,0.38,2110.67
0.7,0.38,3505.24
0.7,0.38,2758.2
0.7,0.38,2813.46
0.7,0.38,2513.93
0.7,0.38,2927.65
0.7,0.38,3786.58
0.7,0.38,3496.99
0.7,0.38,2946.81
0.7,0.38,3759.53
0.7,0.38,4398.01
0.7,0.38,3091.4
0.7,0.38,3489.11
0.7,0.38,3312.33
0.7,0.38,2357.65
0.7,0.38,2443.12
0.7,0.38,4514.59
0.7,0.38,3767
0.7,0.38,3669.4
0.7,0.38,3213.91
0.7,0.38,3442.19
0.7,0.38,3212.95
0.7,0.38,3111.35
0.7,0.38,3320.42
0.7,0.38,2315.71
0.7,0.38,4869.25
0.7,0.38,3728.61
0.9,0.12,5272.12
0.9,0.12,4427.12
0.9,0.12,4426.16
0.9,0.12,5147.27
0.9,0.12,5630.62
0.9,0.12,3384.92
0.9,0.12,5549.65
0.9,0.12,4715.6
0.9,0.12,4326.07
0.9,0.12,5583.27
0.9,0.12,5289.75
0.9,0.12,5533.79
0.9,0.12,4350.83
0.9,0.12,5177.65
0.9,0.12,4812.21
0.9,0.12,4216.06
0.9,0.12,5910.67
0.9,0.12,4738.17
0.9,0.12,4572.77
0.9,0.12,5017.56
0.9,0.12,4896.09
0.9,0.12,4092.72
0.9,0.12,4557.19
0.9,0.12,6573.08
0.9,0.12,4540.92
0.9,0.12,4362.18
0.9,0.12,5123.83
0.9,0.12,4884.92
0.9,0.12,4179.25
0.9,0.12,3798.72
0.9,0.12,5233.44
0.9,0.12,4674.59
0.9,0.12,4941.52
0.9,0.12,4411.91
0.9,0.12,3354.63
0.9,0.12,4624.3
0.9,0.12,6382.59
0.9,0.12,3504.31
0.9,0.12,3877.55
0.9,0.12,3594.86
0.9,0.12,4327.17
0.9,0.12,5612.96
0.9,0.12,4500.39
0.9,0.12,4409.09
0.9,0.12,3647.67
0.9,0.12,4680.07
0.9,0.12,5378.92
0.9,0.12,6287.91
0.9,0.12,5568.6
0.9,0.12,3934.07
0.9,0.12,4202.14
0.9,0.12,5062.03
0.9,0.12,4560.36
0.9,0.12,4768.56
0.9,0.12,3600.45
0.9,0.12,4301.52
0.9,0.12,3906.45
0.9,0.12,3891.89
0.9,0.12,4073.55
0.9,0.12,4280.21
0.9,0.12,4592.01
0.9,0.12,5075.29
0.9,0.12,4239.63
0.9,0.12,3983.03
0.9,0.12,5837.7
0.9,0.12,5364.61
0.9,0.12,5128.22
0.9,0.12,5913.08
0.9,0.12,3908.22
0.9,0.12,6163.16
0.9,0.12,5513.91
0.9,0.12,4807.13
0.9,0.12,5070.97
0.9,0.12,4633.04
0.9,0.12,4521.33
0.9,0.12,3404.95
0.9,0.12,5174.94
0.9,0.12,6251.35
0.9,0.12,6186.23
0.9,0.12,4741.58
0.9,0.12,4518.55
0.9,0.12,4780.92
0.9,0.12,5456.45
0.9,0.12,5735.52
0.9,0.12,4937.68
0.9,0.12,5437.75
0.9,0.12,4510.13
0.9,0.12,4965.05
0.9,0.12,5497.49
0.9,0.12,7301
0.9,0.12,4531.09
0.9,0.12,4116.58
0.9,0.12,4874.39
0.9,0.12,4299.21
0.9,0.12,5069.5
0.9,0.12,4840.8
0.9,0.12,5587.13
0.9,0.12,3879.99
0.9,0.12,3699.68
0.9,0.12,5776.96
0.9,0.12,4756.41
0.9,0.12,3912.29
0.9,0.12,3822.46
0.9,0.12,4198.4
0.9,0.12,5072.92
0.9,0.12,4197.45
0.9,0.12,5617.29
0.9,0.12,4792.12
0.9,0.12,4730
0.9,0.12,4569.9
0.9,0.12,4414.72
0.9,0.12,4455.57
0.9,0.12,5485.98
0.9,0.12,3589.02
0.9,0.12,5390.7
0.9,0.12,4303.48
0.9,0.12,5124.42
0.9,0.12,4513.96
0.9,0.12,3570.77
0.9,0.12,4879.27
0.9,0.12,4107.69
0.9,0.12,5478.4
0.9,0.12,3974.26
0.9,0.12,3238.17
0.9,0.12,3952.2
0.9,0.12,4157.3
0.9,0.12,3969.92
0.9,0.12,4421.75
0.9,0.12,4153.91
0.9,0.12,4306.53
0.9,0.12,4855.99
0.9,0.12,3742.23
0.9,0.12,5171.58
0.9,0.12,4579.84
0.9,0.12,4579.43
0.9,0.12,3080.15
0.9,0.12,4364.29
0.9,0.12,4173.8
0.9,0.12,5257.12
0.9,0.12,5669.91
0.9,0.12,5524.51
0.9,0.12,3755.45
0.9,0.12,4036.3
0.9,0.12,4505.45
0.9,0.12,3784.81
0.9,0.12,3413.27
0.9,0.12,5172.78
0.9,0.12,4668.54
0.9,0.12,5039.74
0.9,0.12,3707.68
